City,id,nametype,reclass,mass (g),Trip or Order Status,Request Time,Pickup Lat,Pickup Lng,Dropoff Lat,Dropoff Lng
Chicago,17941,Valid,Chicago,3.43,COMPLETED,2019-10-27 06:27:48 +0000 UTC,41.92657,-87.69746,41.96352,-87.69117
Chicago,18171,Valid,Chicago,2.59,COMPLETED,2019-10-27 05:34:39 +0000 UTC,41.90044,-87.67873,41.92451,-87.69743
Chicago,18793,Valid,Chicago,3.2,COMPLETED,2019-10-27 03:33:18 +0000 UTC,41.93426,-87.66561,41.90043,-87.67909
Chicago,15417,Valid,Chicago,0,CANCELED,2019-10-27 03:30:25 +0000 UTC,41.9593992,-87.6824874,41.9534403,-87.678265
Chicago,11850,Valid,Chicago,4.24,COMPLETED,2019-10-26 23:49:09 +0000 UTC,41.8992105,-87.6275409,41.9343047,-87.6654686
Chicago,18910,Valid,Chicago,2.42,COMPLETED,2019-10-26 23:25:17 +0000 UTC,41.89595,-87.67113,41.89915,-87.6276
Chicago,16976,Valid,Chicago,3.11,COMPLETED,2019-10-26 22:34:00 +0000 UTC,41.9342205,-87.6656029,41.896107,-87.6709505
Chicago,18081,Valid,Chicago,0,CANCELED,2019-10-26 22:33:35 +0000 UTC,,,,
Chicago,18824,Valid,Chicago,0,CANCELED,2019-10-26 22:30:39 +0000 UTC,41.94357047,-87.64939612,41.94050051,-87.65410787
Chicago,18848,Valid,Chicago,0,CANCELED,2019-10-26 22:18:29 +0000 UTC,41.924666,-87.654666,41.9237592,-87.6548052
Chicago,18807,Valid,Chicago,0,DRIVER_CANCELED,2019-10-26 22:04:14 +0000 UTC,41.93261258,-87.65526682,41.93426231,-87.66573782
Chicago,15457,Valid,Chicago,4.75,COMPLETED,2019-10-26 18:37:03 +0000 UTC,41.90156,-87.62757,41.93427,-87.66548
Chicago,16916,Valid,Chicago,1.31,COMPLETED,2019-10-24 22:26:11 +0000 UTC,41.93432,-87.66565,41.92532,-87.65297
Chicago,23745,Valid,Chicago,1.27,COMPLETED,2019-10-24 13:30:45 +0000 UTC,41.93428,-87.66569,41.92532,-87.6536
Chicago,15428,Valid,Chicago,1.3,COMPLETED,2019-10-22 13:28:38 +0000 UTC,41.93426,-87.66572,41.92541,-87.65288
Chicago,10921,Valid,Chicago,0,CANCELED,2019-10-22 13:27:40 +0000 UTC,41.91769,-87.65892,41.91921359,-87.66107559
Chicago,5493,Valid,Chicago,0.82,COMPLETED,2019-10-13 19:54:56 +0000 UTC,41.93428,-87.66571,41.93978,-87.6627
Chicago,2339,Valid,Chicago,0,CANCELED,2019-10-09 07:26:53 +0000 UTC,,,,
Chicago,16939,Valid,Chicago,0.72,COMPLETED,2019-10-08 20:17:26 +0000 UTC,41.9324894,-87.6657979,41.9326274,-87.6531612
Chicago,388,Valid,Chicago,3.39,COMPLETED,2019-09-27 03:57:29 +0000 UTC,41.94117,-87.71869,41.93415,-87.66603
Chicago,16955,Valid,Chicago,3.68,COMPLETED,2019-09-27 00:16:04 +0000 UTC,41.93316,-87.66857,41.93921,-87.71849
Chicago,10073,Valid,Chicago,1.42,COMPLETED,2019-09-26 13:23:31 +0000 UTC,41.9344041,-87.6636566,41.9253425,-87.6529791
Chicago,5324,Valid,Chicago,0,CANCELED,2019-09-22 10:07:11 +0000 UTC,,,,
Chicago,23135,Valid,Chicago,0,CANCELED,2019-09-12 13:26:33 +0000 UTC,41.90657656,-87.66104462,41.91496912,-87.66733031
Chicago,5287,Valid,Chicago,1.16,COMPLETED,2019-09-10 13:17:44 +0000 UTC,41.9323394,-87.6660255,41.9253264,-87.6529169
Chicago,18048,Valid,Chicago,3.82,COMPLETED,2019-09-07 00:43:37 +0000 UTC,41.93426,-87.66568,41.94091,-87.71868
Chicago,23522,Valid,Chicago,0,UNFULFILLED,2019-09-03 13:07:13 +0000 UTC,,,,
Chicago,18810,Valid,Chicago,0.84,COMPLETED,2019-08-30 21:32:26 +0000 UTC,41.9343205,-87.6659469,41.9326053,-87.6540722
Chicago,11995,Valid,Chicago,0.75,COMPLETED,2019-08-19 18:03:01 +0000 UTC,41.9355689,-87.6697599,41.9342748,-87.6655632
San Francisco,10958,Valid,San Francisco,7.83,COMPLETED,2019-08-01 17:35:21 +0000 UTC,37.4258,-122.14974,37.48841,-122.22543
San Francisco,15372,Valid,San Francisco,0,CANCELED,2019-07-29 23:50:38 +0000 UTC,37.48653426,-122.2237548,37.48903526,-122.2218559
San Francisco,23497,Valid,San Francisco,7.78,COMPLETED,2019-07-29 18:40:20 +0000 UTC,37.42546,-122.14911,37.48858,-122.22544
San Francisco,10029,Valid,San Francisco,0,CANCELED,2019-07-26 18:51:21 +0000 UTC,,,,
San Francisco,14668,Valid,San Francisco,9.57,COMPLETED,2019-07-25 18:04:51 +0000 UTC,37.4254524,-122.1482324,37.4885613,-122.2255182
San Francisco,30378,Valid,San Francisco,6.96,COMPLETED,2019-07-22 19:28:06 +0000 UTC,37.4253313,-122.1487864,37.4882572,-122.2255584
San Francisco,12265,Valid,San Francisco,0,CANCELED,2019-07-19 15:36:56 +0000 UTC,37.42427209,-122.1442619,37.42448384,-122.1445784
San Francisco,24134,Valid,San Francisco,8.53,COMPLETED,2019-07-18 16:24:12 +0000 UTC,37.4255777,-122.1492988,37.4884826,-122.225398
San Francisco,421,Valid,San Francisco,11.84,COMPLETED,2019-07-17 17:32:55 +0000 UTC,37.42519,-122.14864,37.48981,-122.22499
San Francisco,11478,Valid,San Francisco,9.44,COMPLETED,2019-07-16 17:36:21 +0000 UTC,37.4258861,-122.1481409,37.4900298,-122.2241282
San Francisco,11477,Valid,San Francisco,9.48,COMPLETED,2019-07-15 17:33:03 +0000 UTC,37.42577,-122.14968,37.48772,-122.22527
San Francisco,10017,Valid,San Francisco,26.79,COMPLETED,2019-07-15 04:35:30 +0000 UTC,37.218835,-121.9738553,37.4250838,-122.1486581
San Francisco,14710,Valid,San Francisco,4.78,COMPLETED,2019-07-13 21:48:28 +0000 UTC,37.4253166,-122.1488443,37.379655,-122.1177716
San Francisco,5126,Valid,San Francisco,11.38,COMPLETED,2019-07-12 18:39:31 +0000 UTC,37.4257627,-122.149531,37.4878073,-122.225291
San Francisco,18905,Valid,San Francisco,10.03,COMPLETED,2019-07-11 19:35:58 +0000 UTC,37.42529,-122.14877,37.48827,-122.22527
San Francisco,12229,Valid,San Francisco,0,CANCELED,2019-07-11 19:28:15 +0000 UTC,37.42599935,-122.1506974,37.42582226,-122.149774
San Francisco,23468,Valid,San Francisco,9.72,COMPLETED,2019-07-10 19:25:56 +0000 UTC,37.4253158,-122.1487938,37.488135,-122.2255011
San Francisco,11452,Valid,San Francisco,9.7,COMPLETED,2019-07-09 17:34:57 +0000 UTC,37.4254139,-122.1489203,37.4887912,-122.2256839
San Francisco,16819,Valid,San Francisco,11.28,COMPLETED,2019-07-08 17:35:50 +0000 UTC,37.42538,-122.14895,37.4877,-122.22594
San Francisco,12375,Valid,San Francisco,11.47,COMPLETED,2019-07-03 17:27:36 +0000 UTC,37.42545,-122.14884,37.48772,-122.22529
San Francisco,4995,Valid,San Francisco,12.42,COMPLETED,2019-07-02 17:19:25 +0000 UTC,37.4253067,-122.1487629,37.4886639,-122.2255368
San Francisco,12273,Valid,San Francisco,8.86,COMPLETED,2019-06-27 18:35:08 +0000 UTC,37.48412,-122.23254,37.42685,-122.14853
San Francisco,5151,Valid,San Francisco,9.74,COMPLETED,2019-06-25 18:07:21 +0000 UTC,37.425323,-122.1487316,37.4885043,-122.2254465
San Francisco,24329,Valid,San Francisco,9.39,COMPLETED,2019-06-24 17:36:20 +0000 UTC,37.4258,-122.14793,37.48862,-122.22544
San Francisco,12410,Valid,San Francisco,22.42,COMPLETED,2019-06-23 04:37:46 +0000 UTC,37.2433954,-121.9235742,37.4252647,-122.1487921
San Francisco,23906,Valid,San Francisco,9.72,COMPLETED,2019-06-19 17:53:18 +0000 UTC,37.42539,-122.14897,37.48875,-122.22578
San Francisco,23888,Valid,San Francisco,9.51,COMPLETED,2019-06-18 17:48:18 +0000 UTC,37.4260313,-122.1475674,37.4883266,-122.2254089
San Francisco,5143,Valid,San Francisco,0.01,CANCELED,2019-06-18 17:37:38 +0000 UTC,37.41526276,-122.1274549,37.4261423,-122.1475293
San Francisco,2326,Valid,San Francisco,9.48,COMPLETED,2019-06-17 16:30:49 +0000 UTC,37.4267979,-122.1486001,37.4901041,-122.2242947
San Francisco,23526,Valid,San Francisco,21.25,COMPLETED,2019-06-17 04:24:38 +0000 UTC,37.2450933,-121.9236507,37.4253509,-122.1487693
San Francisco,18783,Valid,San Francisco,9.9,COMPLETED,2019-06-14 16:53:12 +0000 UTC,37.4252678,-122.1488407,37.4883568,-122.2256067
San Francisco,5373,Valid,San Francisco,10.31,COMPLETED,2019-06-13 16:47:59 +0000 UTC,37.42569,-122.14954,37.48771,-122.22524
San Francisco,12197,Valid,San Francisco,9.31,COMPLETED,2019-06-11 16:12:08 +0000 UTC,37.42851,-122.14302,37.49012,-122.22441
San Francisco,10952,Valid,San Francisco,9.66,COMPLETED,2019-06-10 16:37:29 +0000 UTC,37.42571,-122.14956,37.48888,-122.22539
San Francisco,11828,Valid,San Francisco,24.21,COMPLETED,2019-06-10 04:07:28 +0000 UTC,37.24355,-121.92375,37.42528,-122.14886
San Francisco,5145,Valid,San Francisco,24.35,COMPLETED,2019-06-09 05:46:39 +0000 UTC,37.24495,-121.9236,37.4253,-122.14879
San Francisco,5288,Valid,San Francisco,0,CANCELED,2019-06-09 05:43:17 +0000 UTC,37.24254804,-121.899254,37.24529298,-121.9022828
